"b","ll_alt","se_alt","ll_null","se_null","delta_ll","Lambda_oracle","Delta_AIC_oracle"
1,-864.807913846733,0.107946557651375,-875.455997865169,0.145535650960927,10.6480840184354,21.2961680368708,-7.29616803687077
13,-869.785811572327,0.122906811270407,-880.858403610622,0.167890508418598,11.0725920382955,22.145184076591,-8.14518407659102
25,-891.606962782343,0.189892201652878,-895.454473803757,0.208354716625048,3.84751102141411,7.69502204282821,6.30497795717179
37,-861.494546620889,0.131329300413365,-867.896979114933,0.250908796738145,6.40243249404477,12.8048649880895,1.19513501191045
49,-855.409314208079,0.247895901672596,-862.470823494961,0.430711887279225,7.06150928688214,14.1230185737643,-0.123018573764284
