"family","alt_name","k_null","k_alt","df","ll_null_obs","ll_alt_obs","Lambda_obs","p_chisq","p_boot","B_completed","Lambda_boot_mean","Lambda_boot_sd"
"SRJF2","f_Si_f_Sn",13,29,16,-701.172337725184,-692.71330537475,16.9180647008682,0.390918171015323,0.95049504950495,100,29.9689405131841,7.80239700789628
"SRJF2","rn_ri",13,29,16,-701.172337725184,-696.349993665743,9.6446881188806,0.88451328273997,1,100,31.3813828203104,8.0394376056495
"SRJF2","theta_Sn_theta_Si",13,29,16,-701.172337725184,-691.195251551785,19.9541723467971,0.22229180424683,0.811881188118812,100,27.1282998025393,7.93948922830959
