"family","alt_name","k_null","k_alt","df","ll_null_obs","ll_alt_obs","Lambda_obs","p_chisq","p_boot","B_completed","Lambda_boot_mean","Lambda_boot_sd"
"SIRJPF2","xi",24,31,7,-880.559595457257,-879.240739563959,2.63771178659636,0.916375303354493,0.98019801980198,100,12.241104718817,5.62116468974005
"SIRJPF2","theta_Si_theta_Sn",24,38,14,-880.559595457257,-872.084980852161,16.9492292101927,0.258893551784387,0.435643564356436,100,15.8711646206605,8.01270958809751
"SIRJPF2","theta_P",24,31,7,-880.559595457257,-875.873526804007,9.37213730649955,0.227030533381963,0.138613861386139,100,3.80736259540793,4.3206540941791
"SIRJPF2","theta_Ii_theta_In",24,38,14,-880.559595457257,-863.027403162635,35.0643845892446,0.00143811121543457,0.099009900990099,100,23.4901993307446,7.54805442557845
"SIRJPF2","ri_rn",24,38,14,-880.559595457257,-870.464725857554,20.1897391994062,0.124271976274161,0.95049504950495,100,36.3984944117229,10.5518797980486
"SIRJPF2","probi_probn",24,38,14,-880.559595457257,-865.80383821102,29.5115144924755,0.0089045517055833,0.386138613861386,100,26.590001731647,8.06393660409918
"SIRJPF2","f_Si_f_Sn",24,38,14,-880.559595457257,-872.492942161339,16.1333065918366,0.305301370841637,0.97029702970297,100,31.7098014977511,9.96587090137885
