b,unit,day,dentadult,dentinf,lumadult,luminf
2,u4,7.0,9.0,0.0,1.0,0.0
2,u4,12.0,6.0,0.0,2.0,0.0
2,u4,17.0,41.0,0.0,18.0,0.0
2,u4,22.0,44.0,3.0,18.0,11.0
2,u4,27.0,48.0,13.0,22.0,8.0
2,u4,32.0,15.0,14.0,17.0,11.0
2,u4,37.0,9.0,0.0,0.0,18.0
2,u4,42.0,19.0,0.0,7.0,3.0
2,u4,47.0,7.0,5.0,1.0,2.0
2,u4,52.0,5.0,1.0,5.0,1.0
2,u5,7.0,0.0,0.0,4.0,0.0
2,u5,12.0,14.0,0.0,4.0,0.0
2,u5,17.0,5.0,1.0,12.0,3.0
2,u5,22.0,57.0,3.0,7.0,1.0
2,u5,27.0,102.0,5.0,61.0,2.0
2,u5,32.0,66.0,13.0,10.0,4.0
2,u5,37.0,19.0,31.0,18.0,12.0
2,u5,42.0,13.0,4.0,21.0,0.0
2,u5,47.0,3.0,5.0,4.0,4.0
2,u5,52.0,1.0,6.0,1.0,0.0
2,u6,7.0,2.0,0.0,1.0,0.0
2,u6,12.0,2.0,1.0,1.0,0.0
2,u6,17.0,5.0,0.0,5.0,0.0
2,u6,22.0,36.0,0.0,9.0,0.0
2,u6,27.0,45.0,4.0,8.0,0.0
2,u6,32.0,28.0,12.0,7.0,2.0
2,u6,37.0,21.0,12.0,10.0,0.0
2,u6,42.0,7.0,3.0,2.0,2.0
2,u6,47.0,26.0,14.0,2.0,9.0
2,u6,52.0,3.0,8.0,4.0,3.0
2,u7,7.0,0.0,0.0,1.0,0.0
2,u7,12.0,7.0,0.0,2.0,0.0
2,u7,17.0,12.0,0.0,3.0,0.0
2,u7,22.0,41.0,0.0,6.0,0.0
2,u7,27.0,48.0,0.0,22.0,2.0
2,u7,32.0,96.0,6.0,18.0,0.0
2,u7,37.0,73.0,0.0,6.0,1.0
2,u7,42.0,30.0,19.0,19.0,10.0
2,u7,47.0,19.0,4.0,9.0,2.0
2,u7,52.0,5.0,2.0,0.0,1.0
2,u8,7.0,6.0,0.0,1.0,0.0
2,u8,12.0,5.0,0.0,2.0,0.0
2,u8,17.0,14.0,0.0,8.0,0.0
2,u8,22.0,33.0,2.0,8.0,0.0
2,u8,27.0,31.0,1.0,11.0,2.0
2,u8,32.0,10.0,4.0,27.0,8.0
2,u8,37.0,32.0,7.0,4.0,18.0
2,u8,42.0,4.0,3.0,4.0,0.0
