"family","alt_name","k_null","k_alt","df","ll_null_obs","ll_alt_obs","Lambda_obs","p_chisq","p_boot","B_completed","Lambda_boot_mean","Lambda_boot_sd"
"Dent_SRJF","theta_Sn",7,16,9,-498.780826044071,-489.854672011621,17.8523080649007,0.036926208652647,0.118811881188119,100,11.3872211529364,5.27004602009179
"Dent_SRJF","rn",7,16,9,-498.780826044071,-496.444876731196,4.67189862575094,0.861920898674894,0.94059405940594,100,10.8055754644546,4.72866722573904
"Dent_SRJF","f_Sn",7,16,9,-498.780826044071,-496.159220909398,5.24321026934501,0.812612505479058,0.910891089108911,100,11.2337584406049,5.06779748763191
