"b","unit","day","dentadult","dentinf","lumadult","luminf"
3,"u2",22,38,1,13,0
3,"u2",27,34,4,17,0
3,"u2",32,59,23,9,0
3,"u2",37,38,10,14,4
3,"u2",42,67,29,0,2
3,"u2",47,9,5,4,0
3,"u2",52,16,22,0,2
3,"u3",7,5,0,2,0
3,"u3",12,11,0,5,0
3,"u3",17,43,0,6,0
3,"u3",22,39,0,16,0
3,"u3",27,50,4,14,1
3,"u3",32,90,2,15,0
3,"u3",37,50,6,10,0
3,"u3",42,39,6,10,4
3,"u3",47,27,10,4,4
3,"u3",52,16,2,3,0
3,"u4",7,7,0,1,0
3,"u4",12,10,0,2,0
3,"u4",17,67,0,15,0
3,"u4",22,146,12,32,1
3,"u4",27,189,5,43,25
3,"u4",32,188,65,8,6
3,"u4",37,36,5,7,10
3,"u4",42,34,13,1,1
3,"u4",47,21,9,5,1
3,"u4",52,3,0,0,1
3,"u5",7,4,0,3,0
3,"u5",12,12,2,3,0
3,"u5",17,25,0,6,0
3,"u5",22,30,0,5,0
3,"u5",27,41,5,6,0
3,"u5",32,19,7,1,3
3,"u5",37,6,1,0,0
3,"u5",42,3,2,5,0
3,"u5",47,0,2,2,5
3,"u5",52,1,0,0,1
3,"u6",7,1,0,0,0
3,"u6",12,29,0,2,1
3,"u6",17,35,0,15,1
3,"u6",22,40,0,18,3
3,"u6",27,11,1,45,5
3,"u6",32,51,12,33,0
3,"u6",37,10,0,4,2
3,"u6",42,2,0,0,16
3,"u6",47,3,0,7,7
3,"u6",52,0,0,5,0
3,"u7",7,0,0,1,0
3,"u7",12,37,0,13,0
3,"u7",17,67,1,17,1
3,"u7",22,241,0,7,0
3,"u7",27,45,62,10,2
3,"u7",32,26,10,1,1
3,"u7",37,3,4,1,1
3,"u7",42,0,0,0,0
3,"u7",47,0,0,1,0
3,"u7",52,12,0,2,0
3,"u8",7,2,0,3,0
3,"u8",12,22,0,7,0
3,"u8",17,25,0,8,0
3,"u8",22,64,0,39,0
