"b","unit","day","lumadult"
3,"u8",47,8
3,"u8",52,2
3,"u9",7,7
3,"u9",12,20
3,"u9",17,37
3,"u9",22,268
3,"u9",27,386
3,"u9",32,24
3,"u9",37,13
3,"u9",42,0
3,"u9",47,2
3,"u9",52,1
3,"u10",7,0
3,"u10",12,13
3,"u10",17,1
3,"u10",22,3
3,"u10",27,39
3,"u10",32,19
3,"u10",37,16
3,"u10",42,12
3,"u10",47,5
3,"u10",52,24
4,"u1",7,4
4,"u1",12,4
4,"u1",17,26
4,"u1",22,19
4,"u1",27,21
4,"u1",32,49
4,"u1",37,12
4,"u1",42,27
4,"u1",47,16
4,"u1",52,55
4,"u2",7,0
4,"u2",12,5
4,"u2",17,3
4,"u2",22,4
4,"u2",27,17
4,"u2",32,14
4,"u2",37,47
4,"u2",42,39
4,"u2",47,81
4,"u2",52,101
4,"u3",7,2
4,"u3",12,3
4,"u3",17,1
4,"u3",22,8
4,"u3",27,59
4,"u3",32,72
4,"u3",37,48
4,"u3",42,50
4,"u3",47,0
4,"u3",52,4
4,"u4",7,4
4,"u4",12,8
4,"u4",17,56
4,"u4",22,116
4,"u4",27,95
4,"u4",32,74
4,"u4",37,31
4,"u4",42,240
4,"u4",47,141
4,"u4",52,174
4,"u5",7,1
4,"u5",12,8
4,"u5",17,4
4,"u5",22,25
4,"u5",27,84
4,"u5",32,143
4,"u5",37,144
4,"u5",42,79
4,"u5",47,21
4,"u5",52,4
4,"u6",7,1
4,"u6",12,4
4,"u6",17,38
4,"u6",22,42
4,"u6",27,14
4,"u6",32,30
4,"u6",37,33
4,"u6",42,28
4,"u6",47,26
4,"u6",52,6
4,"u7",7,3
4,"u7",12,0
4,"u7",17,4
4,"u7",22,8
4,"u7",27,26
4,"u7",32,47
4,"u7",37,12
4,"u7",42,32
4,"u7",47,44
4,"u7",52,68
4,"u8",7,2
4,"u8",12,6
4,"u8",17,8
4,"u8",22,11
4,"u8",27,9
4,"u8",32,85
4,"u8",37,105
4,"u8",42,162
4,"u8",47,73
4,"u8",52,19
4,"u9",7,1
4,"u9",12,14
4,"u9",17,12
4,"u9",22,88
4,"u9",27,28
4,"u9",32,123
4,"u9",37,22
4,"u9",42,3
4,"u9",47,1
4,"u9",52,2
4,"u10",7,2
4,"u10",12,3
4,"u10",17,12
4,"u10",22,36
4,"u10",27,68
4,"u10",32,189
4,"u10",37,140
4,"u10",42,26
4,"u10",47,167
4,"u10",52,127
5,"u1",7,1
5,"u1",12,1
5,"u1",17,24
5,"u1",22,34
5,"u1",27,72
5,"u1",32,13
5,"u1",37,2
5,"u1",42,18
5,"u1",47,4
5,"u1",52,30
5,"u2",7,8
5,"u2",12,6
5,"u2",17,7
5,"u2",22,3
5,"u2",27,3
5,"u2",32,11
5,"u2",37,23
5,"u2",42,53
5,"u2",47,20
5,"u2",52,4
5,"u3",7,0
5,"u3",12,4
5,"u3",17,21
5,"u3",22,15
5,"u3",27,32
5,"u3",32,96
5,"u3",37,66
5,"u3",42,34
5,"u3",47,9
5,"u3",52,24
5,"u4",7,3
5,"u4",12,1
5,"u4",17,6
5,"u4",22,5
5,"u4",27,1
5,"u4",32,10
5,"u4",37,29
5,"u4",42,78
5,"u4",47,64
5,"u4",52,18
5,"u5",7,10
5,"u5",12,8
5,"u5",17,23
5,"u5",22,10
5,"u5",27,14
5,"u5",32,459
5,"u5",37,129
5,"u5",42,31
5,"u5",47,80
5,"u5",52,16
5,"u6",7,3
5,"u6",12,3
5,"u6",17,2
5,"u6",22,27
5,"u6",27,129
5,"u6",32,196
5,"u6",37,122
5,"u6",42,65
5,"u6",47,31
5,"u6",52,21
5,"u7",7,1
5,"u7",12,10
5,"u7",17,36
5,"u7",22,9
5,"u7",27,11
5,"u7",32,13
5,"u7",37,198
5,"u7",42,68
5,"u7",47,224
